Aboard,Total Death,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Type,cn/In
3,3,03-06-1922,3,,0,Off Folkestone,Kent,England,"Off Folkestone, Kent, England",1,Cie des Messageries Aeriennes,F-CMAY,,,,Bleriot Spad 27,1254
3,3,26-07-1922,3,,0,Cadix,Spain,,"Cadix, Spain",1,Grands Express Aeriens,,,,,Breguet 14,
1,1,07-09-1922,1,,0,Indianapolis,Indiana,,"Indianapolis, Indiana",1,US Aerial Mail Service,227,,,,De Havilland DH-4,
4,4,02-10-1922,4,,0,Venice,Italy,,"Venice, Italy",1,,G-EAYT,,,,de Havilland DH-9,
2,2,25-10-1922,2,,0,Larache,Morocco,,"Larache, Morocco",1,Grands Express Aeriens,,,,,Breguet 14,
1,1,03-12-1922,1,,0,Fez,Morocco,,"Fez, Morocco",1,Grands Express Aeriens,,,,,Breguet 14,
4,3,10-01-1923,3,,0,Ajaccio,France,,"Ajaccio, France",1,Amee de l'Air,F-AEIB,,,,Lioré-et-Olivier H-13,
1,1,17-01-1923,1,,0,Barcelona,Spain,,"Barcelona, Spain",1,Grands Express Aeriens,F-ALJU,,,,Breguet 14,
1,1,18-01-1923,1,,0,Cheyenne,Wyoming,,"Cheyenne, Wyoming",1,US Aerial Mail Service,223,,,,De Havilland DH-4,
1,1,26-02-1923,1,,0,Meadville,Pennsylvania,,"Meadville, Pennsylvania",1,US Aerial Mail Service,291,,,,De Havilland DH-4,
6,6,14-05-1923,6,,0,Monsures,France,,"Monsures, France",1,Grands Express Aeriens,F-AEBY,,,,Farman F-60 Goliath,
2,2,27-08-1923,2,,0,Bucharest,Romania,,"Bucharest, Romania",1,Campagnie France Roumaine,F-AEGN,,,,Blériot Spad 46,
1,1,07-09-1923,1,,0,Colton,Ohio,,"Colton, Ohio",1,US Aerial Mail Service,283,,,,De Havilland DH-4,
6,6,14-09-1923,6,,0,Berks,England,,"Berks, England",1,Daimler Airways,G-EBBS,,,,de Havilland DH-34,29
4,2,18-11-1923,2,,0,Russia,,,Russia,1,CCCP,D-257,,,,Junkers F-13,
1,1,06-12-1923,1,,0,Castalia,Ohio,,"Castalia, Ohio",1,US Aerial Mail Service,318,,,,De Havilland DH-4,
52,52,23-12-1923,52,,0,Over the Mediterranean Sea,,,Over the Mediterranean Sea,1,Military - French Navy,L-72,Toulon - Algiers,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",30-12-1899 02:30:00,Zeppelin Dixmunde (airship),
1,1,24-12-1923,1,,0,Egbert,WY,,"Egbert, WY",1,US Aerial Mail Service,315,,,,De Havilland DH-4,
1,1,07-03-1924,1,,0,Grampian,Pennsylvania,,"Grampian, Pennsylvania",1,US Aerial Mail Service,327,,,,De Havilland DH-4,
3,3,24-04-1924,3,,0,Over the English Channel,,,Over the English Channel,1,KLM Royal Dutch Airlines,H-NABS,"Lympne, England - Rotterdam, The Netherlands",,,Fokker F.III,1535
3,3,08-06-1924,3,,0,Barranquilla,Colombia,,"Barranquilla, Colombia",1,SCADTA,A16,,,,Junkers F-13,
1,1,01-08-1924,1,,0,United States,,,United States,1,US Aerial Mail Service,297,,,,De Havilland DH-4,
1,1,06-11-1924,1,,0,Cabrerolles,France,,"Cabrerolles, France",1,Grands Express Aeriens,F-AFBD,,,,,
1,1,21-12-1924,1,,0,Goshen,Indiana,,"Goshen, Indiana",1,US Aerial Mail Service,311,,,,De Havilland DH-4,
8,8,24-12-1924,8,,0,Purley,England,,"Purley, England",1,Imperial Airways,G-EBBX,,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",,de Havilland DH-34B,36
5,5,22-03-1925,5,,0,Near Tiflies,Georgia,USSR,"Near Tiflies, Georgia, USSR",1,Zakavia,R-RECA,,,,Junkers F-13,590
4,4,25-04-1925,4,,0,Alicante,Spain,,"Alicante, Spain",1,Grands Express Aeriens,,,,,Breguet 14,
2,2,25-05-1925,2,,0,Alicante,Spain,,"Alicante, Spain",1,Lignes Aeriennes Latecoere,F-AFBB,,,,Breguet 14,
4,4,25-06-1925,4,,0,Landrécies,France,,"Landrécies, France",1,KLM Royal Dutch Airlines,H-NABM,,Crashed in poor weather.,,Fokker (KLM)  F.III,KLM-2
2,2,26-06-1925,2,,0,Alicante,Spain,,"Alicante, Spain",1,Grands Express Aeriens,F-AHBH,,,,Lioré-et-Olivier H-13,
1,1,20-07-1925,1,,0,Rosas,Spain,,"Rosas, Spain",1,Lignes Aeriennes Latecoere,F-AFBI,,,,Breguet 14,
1,1,24-07-1925,1,,0,Budapest,Hungary,,"Budapest, Hungary",1,CIDNA,,,,,Potez IX,
43,14,03-09-1925,14,,0,Caldwell,Ohio,,"Caldwell, Ohio",1,Military - U.S. Navy,ZR-1,"Lakehurst, NJ - S.t Louis, MO","The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",30-12-1899 05:30:00,Dirigible ZR-1 Shenandoah (airship),
3,3,07-09-1925,3,,0,Toul,France,,"Toul, France",1,CIDNA,,,,,,
2,2,14-11-1925,2,,0,Off Boulogne-sur-Mer,France,,"Off Boulogne-sur-Mer, France",1,Air Union,F-AMFY,,,,Farman F-60 Goliath,
1,1,12-02-1926,1,,0,Montpelier,Ohio,,"Montpelier, Ohio",1,US Aerial Mail Service,,,,,Curtiss Carrier Pigeon,
1,1,08-03-1926,1,,0,Staaken,Germany,,"Staaken, Germany",1,Deutche Lufthansa,,,,,Junkers F-13,
1,1,31-05-1926,1,,0,English Channel,,,English Channel,1,Air Union,F-ADAI,,,,Breguet 14,
7,7,03-07-1926,7,,0,Rossaugpt,Czechoslovakia,,"Rossaugpt, Czechoslovakia",1,Compagnie Internationale de Navigation Aérienne,F-AFBT,Paris - Prague,Crashed while en route.,,Caudron C-61,5307
2,2,09-07-1926,2,,0,Wolvertem,Belgium,,"Wolvertem, Belgium",1,KLM Royal Dutch Airlines,H-NACC,,,,Fokker F-4,4759
4,4,24-07-1926,4,,0,Juist,Germany,,"Juist, Germany",1,Deutsche Lufthansa,D-272,,Weather related.,,Junkers F-13,660
4,4,18-08-1926,4,,0,Hurst,Kent,England,"Hurst, Kent, England",1,Air Union,F-AIEB,,Crashed in adverse weather conditions.  Engine failure.,,Bleriot 155,2
5,2,26-09-1926,2,,0,New York,New York,,"New York, New York",1,,,New York - Paris,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,,Sikorsky S-25,
4,4,08-10-1926,4,,0,Bueren,Germany,,"Bueren, Germany",1,Deutsche Lufthansa,D-468,,Weather related.,,Fokker FG III,1554
12,0,21-10-1926,0,,0,English Channel,,,English Channel,1,Imperial Airways,G-EBMS,,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",30-12-1899 13:15:00,Handley Page W-10,W10/3
3,3,11-11-1926,3,,0,Cape Bojador,Morocco,,"Cape Bojador, Morocco",1,Grands Express Aeriens,,,,,Breguet 14,
1,1,16-12-1926,1,,0,Medford,Oregon,,"Medford, Oregon",1,PacifiAir Transport,2,,,,Ryan M-1,
2,2,12-01-1927,2,,0,Lille,France,,"Lille, France",1,KLM Royal Dutch Airlines,H-NADH,,,,Fokker F-VII,
1,1,20-03-1927,1,,0,Rabat,Morocco,,"Rabat, Morocco",1,Grands Express Aeriens,F-ALRA,,,,Breguet 14,
3,3,24-03-1927,3,,0,Tambo,Qld,Australia,"Tambo, Qld, Australia",1,Qantas,G-AUED,,Stalled at low altitiude on approach to land,,de Havilland DH-9C,86
1,1,15-04-1927,1,,0,King Hill,Idaho,,"King Hill, Idaho",1,Varney Air Lines,,,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,,,
1,1,22-04-1927,1,,0,Goshen,Indiana,,"Goshen, Indiana",1,US Aerial Mail Service,626,,,,Douglas M-4,
2,2,22-04-1927,2,,0,Floh,Germany,,"Floh, Germany",1,Deutsche Lufthansa,D-729,,Engine failure.,,Fokker FG III,1567
3,1,02-05-1927,1,,0,Algiers,Algeria,,"Algiers, Algeria",1,Air Union,,,,,SPCA Meteore 63,
5,5,27-07-1927,5,,0,Amoneburg,Germany,,"Amoneburg, Germany",1,Deutsche Lufthansa,D-206,,Engine failure.,,Junkers F-13,591
11,1,22-08-1927,1,,0,Sevenoaks,England,,"Sevenoaks, England",1,KLM Royal Dutch Airlines,,Croydon - Schiphol,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",30-12-1899 08:30:00,Fokker F-VIII,4993
1,1,03-09-1927,1,,0,Willington,Connecticut,,"Willington, Connecticut",1,Colonial Air Transport,,,,,Fokker Universal,
12,7,17-09-1927,7,,0,Hadley,New Jersey,,"Hadley, New Jersey",1,Reynolds Airways,NC776,Sightseeing,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,,Fokker F-VII,4840
4,2,22-09-1927,2,,0,Saale,Germany,,"Saale, Germany",1,Deutsche Lufthansa,D-1177,,Engine failure.,,BFW M-18,30
6,6,23-09-1927,6,,0,Schleiz,Germany,,"Schleiz, Germany",1,Deutsche Lufthansa,D-585,Berlin - Munich,Broken wing strut.,30-12-1899 10:00:00,Dornier Merkur,
2,2,06-10-1927,2,,0,Thies,Mauritania,,"Thies, Mauritania",1,Lignes Aeriennes Latecoere,F-AGBN,,,,Breguet 14,
4,4,30-10-1927,4,,0,New Brunswick,New Jersey,,"New Brunswick, New Jersey",1,Colonial Air Transport,,,Went into a tailspin and crashed into a corn field,,Fairchild FC-2,
1,1,16-11-1927,1,,0,Strasburg,France,,"Strasburg, France",1,CIDNA,,,,,Farman F-121 Jabiru,
6,6,16-11-1927,6,,0,Over the Gulf of Finland,,,Over the Gulf of Finland,1,Aero O-Y,K-SALD,,,,Junkers F-13,798
1,1,29-11-1927,1,,0,Corunna,Indiana,,"Corunna, Indiana",1,National Air Transport,,,,,Douglas M-4,
2,2,26-12-1927,2,,0,Almeria,Spain,,"Almeria, Spain",1,Aeropostale,,,,,Breguet 14,
1,1,28-12-1927,1,,0,Abuerio,Spain,,"Abuerio, Spain",1,Aeropostale,F-AFGS,,,,Breguet 14,
4,4,31-12-1927,4,,0,France,,,France,1,Latecoere Airlines,,,,,Latécoère 23,
3,3,08-01-1928,3,,0,Near Canajoharie,New York,,"Near Canajoharie, New York",1,Colonial Western Airlines,,Minola - Albany - Buffalo,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,,Fairchild FC-2,39
2,2,16-01-1928,2,,0,Solis,Uruguay,,"Solis, Uruguay",1,Aeropostale,,,,,Latecoere 25,
2,2,22-01-1928,2,,0,Tarragona,Spain,,"Tarragona, Spain",1,Aeropostale,F-AHEQ,,,,Breguet 14,
2,1,22-01-1928,1,,0,France,,,France,1,Aeropostale,,,,,Breguet 14,
1,1,27-01-1928,1,,0,Almeria,Spain,,"Almeria, Spain",1,Aeropostale,F-AEEH,,,,Breguet 14,
2,1,26-02-1928,1,,0,Marquette,Nebraska,,"Marquette, Nebraska",1,Boeing Air Transport,NC280,,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,,Boeing 40,
10,10,03-03-1928,10,,0,Rio de Janeiro,Brazil,,"Rio de Janeiro, Brazil",1,,,,,,,
2,2,11-03-1928,2,,0,Off Cape Griz Nez,France,,"Off Cape Griz Nez, France",1,Air Union,F-AEFC,,,,Farman F-60 Goliath,
2,1,17-04-1928,1,,0,Federal,Wyoming,,"Federal, Wyoming",1,Boeing Air Transport,,,,,Boeing 40,
9,9,19-04-1928,9,,0,Minuesa,Spain,,"Minuesa, Spain",1,Iberia Airlines,M-CCCC,,Crashed in fog.,,Rohrbach Roland,
1,1,07-05-1928,1,,0,,,,,1,Aeropostale,F-AIMQ,,,,Latecoere 26,
2,2,12-05-1928,2,,0,Dearborn,Minnesota,,"Dearborn, Minnesota",1,Ford Air Freight Inc.,NC1492,,,,Ford 4,
5,3,26-05-1928,3,,0,Radevormwald,Germany,,"Radevormwald, Germany",1,Deutsche Lufthansa,D-583,,Pilot error.,,Junkers F-13,742
5,5,14-06-1928,5,,0,Frankfurt,Germany,,"Frankfurt, Germany",1,Deutsche Lufthansa,D-74,,,,AEGK,439
1,1,22-06-1928,1,,0,Lebo,Kansas,,"Lebo, Kansas",1,National Air Transport,,Chicago - Dallas,The mail plane flew into tornado like winds and crashed to the ground.,,Douglas M-4,
6,6,10-07-1928,6,,0,Over the Gulf of Finland,,,Over the Gulf of Finland,1,Aero O-Y,K-SALB,,,,Junkers F-13,760
4,4,13-07-1928,4,,0,Purley,England,,"Purley, England",1,Imperial Airways,G-EBLB,Testing,Crashed to the ground shortly after taking off killing two men and two women.,,Vickers 74 Vulcan,9
1,1,24-07-1928,1,,0,Waalhaven harbor,Netherlands,,"Waalhaven harbor, Netherlands",1,KLM Royal Dutch Airlines,H-NABR,,The plane crashed into the Waalhaven harbor.,,Fokker (KLM) F.III,1533 (KLM-1)
7,7,25-08-1928,7,,0,Near Port Townsend,BC,Canada,"Near Port Townsend, BC, Canada",1,British Columbia Airways,G-CATX,Victoria - Seattle,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.,,Ford 4-AT-B Tri Motor,4-AT-26
3,3,02-09-1928,3,,0,Toul,France,,"Toul, France",1,CIDNA,,,,,Bleriot Spad 56,
2,1,04-09-1928,1,,0,Adelaide Hills,Australia,,"Adelaide Hills, Australia",1,Qantas,G-AUHI,,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",,de Havilland DH.50J,
7,7,04-09-1928,7,,0,Pocatello,Idaho,,"Pocatello, Idaho",1,National Parks Airways,NC7242,,,,Fokker Super Universal,809
3,3,06-09-1928,3,,0,Heroldbach,Germany,,"Heroldbach, Germany",1,Deutsche Lufthansa,D-180,,Engine failure.,,Fokker FG III,1531
3,3,04-10-1928,3,,0,Gerona,Spain,,"Gerona, Spain",1,Aeropostale,,,,,Breguet 14,
1,1,18-10-1928,1,,0,Polk,Pennsylvania,,"Polk, Pennsylvania",1,National Air Transport,,,The mail plane crashed and burned during the night.,,Douglas M-4,
2,1,31-10-1928,1,,0,Valence,France,,"Valence, France",1,Air Union,F-AIMN,,,,Bleriot Spad 56,
2,1,15-11-1928,1,,0,Off Gibraltar,,,Off Gibraltar,1,Aeropostale,F-AISN,,,,Latecoere 32,
3,3,24-11-1928,3,,0,Edgerton,Ohio,,"Edgerton, Ohio",1,Universal Airlines,,Cleveland - Chicago,The mail plane crashed in a heavy snow storm.,,Hamilton H-47,46
1,1,25-11-1928,1,,0,Bristolville,Ohio,,"Bristolville, Ohio",1,National Air Transport,,,The mail plane crashed in a snow storm.,,Douglas M-4,
3,3,25-11-1928,3,,0,Edgerton,Ohio,,"Edgerton, Ohio",1,Continental Air Lines,,Cleveland - Louisville,The mail plane crashed in a heavy snow storm,,Travel Air 4000,
5,5,01-12-1928,5,,0,Spur,Texas,,"Spur, Texas",1,Sunbeam Air Transport Co.,NC7862,San Antonio - Amarillo - Tulsa - Denver,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,30-12-1899 10:00:00,Ford 4-AT-B Tri Motor,4-AT-47
