Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
64,18-08-1973,56,,0,Baku,Azerbaijan,USSR,"Baku, Azerbaijan, USSR",1,Aeroflot,CCCP-46435,,Crashed after after attemping a return to the airport for an emergency landing.,,56,Antonov AN-24V,87304305,AZ,40.143105,47.576927,Azerbaijan
73,06-10-1976,73,455,0,Off Bridgetown,Barbados,,"Off Bridgetown, Barbados",1,Cubana de Aviacion,CU-T1201,Bridgetown - Kingston,Ten minutes after taking off from Barbados the aircraft reported an explosion aboard. The plane was seen below the overcast trailing smoke. The aircraft crashed into the Caribbean sea. Detonation of an explosive device in the aft of the cabin which initiated an uncontrollable fire which led to the incapacitation of the crew.,30-12-1899 13:24:00,73,McDonnell Douglas DC-8-43,45611/48,BB,13.193887,-59.543198,Barbados
44,21-04-1969,44,,0,Khulna,Bangladesh,,"Khulna, Bangladesh",1,Indian Airlines,VT-DOJ,"Silchar, India - Khulna, Bangladesh",The aircraft crashed in adverse weather conditions. Windshear. The crew tried to fly through thunderstorms at a low level but lost control in severe downdrafts.,30-12-1899 14:59:00,44,Fokker F-27 Friendship 100,10214,BD,23.684994,90.356331,Bangladesh
41,05-03-1915,21,,0,Tienen,Belgium,,"Tienen, Belgium",1,Military - German Navy,,,Crashed into trees while attempting to land after being shot down by British and French aircraft.,30-12-1899 01:00:00,21,Zeppelin L-8 (airship),,BE,50.503887,4.469936,Belgium
7,24-07-1931,7,,0,Kurudjevo,Bulgaria,,"Kurudjevo, Bulgaria",1,CIDNA,,Constantinople - Budapest,The aircraft caught fire in mid air and crashed.,,7,Fokker F-VII,,BG,42.733883,25.48583,Bulgaria
143,23-08-2000,143,72,0,Off Manama,Bahrain,,"Off Manama, Bahrain",1,Gulf Air,A4O-EK,Cairo - Manama,"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a 'spatial disorientation' to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude.",30-12-1899 19:30:00,143,Airbus A320-212,0481,BH,25.930414,50.637772,Bahrain
161,25-12-2003,140,141,0,Cotonou,Benin,,"Cotonou, Benin",1,Union des Transports Aeriens de Guinee,3X-GDO,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon","The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed.",30-12-1899 14:55:00,140,Boeing B-727-223,21090,BJ,9.30769,2.315834,Benin
41,06-12-1952,37,,0,Off Bermuda-Kindley Field,Bermuda,,"Off Bermuda-Kindley Field, Bermuda",1,Cubana de Aviacion,CU-T397,Madrid - Azores - Bermuda - Havana,Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called 'The Star of the East.',30-12-1899 04:40:00,37,Douglas DC-4,10319,BM,32.321384,-64.75737,Bermuda
,16-12-1981,12,,0,Kuala Belait,Brunei,,"Kuala Belait, Brunei",1,Bristow Helicopters,9M-SSC,,,,12,Aerospatiale Puma,1481,BN,4.535277,114.727669,Brunei
2,26-10-1932,2,,0,Villa Monte,Bolivia,,"Villa Monte, Bolivia",1,Lloyd Aero Boliviano,,,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.,,2,Ford Tri-motor 5,,BO,-16.290154,-63.588653,Bolivia
10,03-03-1928,10,,0,Rio de Janeiro,Brazil,,"Rio de Janeiro, Brazil",1,,,,,,10,,,BR,-14.235004,-51.92528,Brazil
4,08-02-1964,4,,0,Freeport,Bahamas,,"Freeport, Bahamas",1,Private air taxi,N2157P,"Freeport, Grand Bahamas - West Palm Beach, FL",Disappeared while en route. Probable cause undetermined.,,4,Piper PA-23,,BS,25.03428,-77.39628,Bahamas
3,25-11-1950,3,,0,Khitka,Bhutan,,"Khitka, Bhutan",1,Indamer,VT-COI,,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.,,3,Douglas C-47A,14037/25482,BT,27.514162,90.433601,Bhutan
84,04-04-1974,78,,0,Francistown,Botswana,,"Francistown, Botswana",1,Wenela Air Services,A2-ZER,Francistown - Malawi,The aircraft crashed into trees and burst into flames after the engines overheated resulting in loss of power. The plane was carrying gold miners. Fuel contamination. Jet A fuel contaminated the aviation gasoline.,30-12-1899 02:35:00,78,Douglas DC-4,27242,BW,-22.328474,24.684866,Botswana
80,01-02-1985,58,,0,Minsk,Belarus,USSR,"Minsk, Belarus, USSR",1,Aeroflot,CCCP-65910,Minsk - Leningrad,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.,,58,Tupolev TU-134A,63971,BY,53.709807,27.953389,Belarus
8,01-04-1991,8,,0,Off San Pedro,Belize,,"Off San Pedro, Belize",1,TropiAir - Air Taxi,N402BL,Zeldiver - San Pedro,The air taxi crashed into the Caribbean.,30-12-1899 15:00:00,8,Cessna 402B,402B0827,BZ,17.189877,-88.49765,Belize
3,06-10-1931,3,,0,Novia Scotia,Canada,,"Novia Scotia, Canada",1,Deutsche Lufthansa,D-1717,,,,3,Heinkel HE-2,334,CA,56.130366,-106.346771,Canada
9,29-03-1959,9,,0,Near Banga,Central African Republic,,"Near Banga, Central African Republic",1,Union Aeromaritime de Transport,F-BGZB,,Crashed while en route in the jungle.,,9,Nord 2501 Noratlas,2,CF,6.611111,20.939444,Central African Republic
5,29-06-1929,5,,0,Lake Constance,Switzerland,,"Lake Constance, Switzerland",1,Aero Lloyd,D-1620,,The aircraft crashed into lake Constance while attempting to landing.,,5,Domier Delphin III,151,CH,46.818188,8.227512,Switzerland
10,06-08-1991,6,,0,Rarotonga,Cook Islands,,"Rarotonga, Cook Islands",1,Avalki Air,DQ-FCN,Altukaki - Rarotonga,Ditched into the sea while on approach.,,6,Britten-Norman BN-2A-6 Islander,0676,CK,-21.236736,-159.777671,Cook Islands
4,19-06-1938,4,,0,Mount  Mercedario,Chile,,"Mount  Mercedario, Chile",1,Pan American Grace Airways,NC14272,,"An hour after leaving Santiago, radio contact with the flight was lost, as it had crashed in the high Andes.  It was not found until February 1941, by indians, who plundered the aircraft and the dead passengers looking for valuables.",,4,Douglas DC-2,,CL,-35.675147,-71.542969,Chile
9,19-02-1952,9,,0,Near Yaounde,Cameroon,,"Near Yaounde, Cameroon",1,STAAP,F-BEFX,,,,9,Consolidated  32 Liberator II,12,CM,7.369722,12.354722,Cameroon
17,08-04-1922,17,,0,Pao Ting Fou,China,,"Pao Ting Fou, China",1,,,,All seventeen aboard were Chinese nationals.,,17,,,CN,35.86166,104.195397,China
3,08-06-1924,3,,0,Barranquilla,Colombia,,"Barranquilla, Colombia",1,SCADTA,A16,,,,3,Junkers F-13,,CO,4.570868,-74.297333,Colombia
22,26-11-1946,22,,0,San Jose,Costa Rica,,"San Jose, Costa Rica",1,Lineas Aéreas Costarricenses  LACSA,RX-76,,Struck Cedrel mountain while making an approach to San Jose.,30-12-1899 10:30:00,22,Douglas DC-3 (C-47A-90-DL),20590,CR,9.748917,-83.753428,Costa Rica
5,10-06-1929,2,,0,Santiago de Cuba,Cuba,,"Santiago de Cuba, Cuba",1,Pan American Airways,NC9700,Santiago de Cuba - Havana,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.,,2,Fokker F-X,,CU,21.521757,-77.781167,Cuba
22,28-09-1998,1,,0,Praia,Cape Verde,,"Praia, Cape Verde",1,Cabo Verde Airlines,D4-CAX,Sao Nicolau - Praia,"The aircraft crashed to the ground while making a final turn for landing in low clouds, reduced visibility and strong, rapidly veering wind conditions associated with the approach of a severe thunderstorm.",30-12-1899 13:30:00,1,de Havilland Canada DHC-6 Twin Otter 300,550,CV,16.002082,-24.013197,Cape Verde
130,20-04-1967,126,,0,Near Nicosia,Cyprus,,"Near Nicosia, Cyprus",1,Globe Air,HB-ITB,Bombay - Cairo,The flight crashed while making a second landing attempt. Misjudgement by the pilot during approach. Both pilots exceeded their duty time by 3 hours at the time of the crash. The first officer had less than 50 hours flying time in a Britannia.,30-12-1899 01:13:00,126,Bristol Britannia 175,13232,CY,35.126413,33.429859,Cyprus
2,13-01-1998,2,,0,Brno,Czech Republic,,"Brno, Czech Republic",1,Aeroservice International,YV-928CP,Gomel - Kunovice,Fog and low visibility forced the plane to divert to divert to Brno. After a missed approach the aircraft crashed 3.5 km short of the runway threshold and was destroyed.,30-12-1899 18:30:00,2,Let 410UVP,871919,CZ,49.817492,15.472962,Czech Republic
30,17-10-1913,30,,0,Near Johannisthal,Germany,,"Near Johannisthal, Germany",1,Military - German Navy,,,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",30-12-1899 10:30:00,30,Zeppelin L-2 (airship),,DE,51.165691,10.451526,Germany
19,18-05-1986,19,,0,Djibouti,Djibouti,,"Djibouti, Djibouti",1,Military - French Naval Aviation,19,,Crashed in the vicinity of Day Mountain in heavy rain and low clouds.,30-12-1899 08:30:00,19,Dassault Breguet Atlantique,19,DJ,11.825138,42.590275,Djibouti
8,07-07-1930,5,,0,Bornholm,Denmark,,"Bornholm, Denmark",1,Deutsche Lufthansa,D-864,Stettin - Norway,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave.",,5,Dornier Wal,44,DK,56.26392,9.501785,Denmark
11,23-08-1998,11,,0,Roseau,Dominica,,"Roseau, Dominica",1,Air Anguilla,N2748J,St. Maarten - Roseau,Impacted rising terrain while executing a go-around from Runway 09 at Melville Hall Airport..,30-12-1899 17:40:00,11,Cessna 402C,402C0244,DM,15.414999,-61.370976,Dominica
31,11-01-1948,31,,0,Ciudad Havajillo,Dominican Republic,,"Ciudad Havajillo, Dominican Republic",1,Dominicana,HI-6,,,,31,Douglas DC-3,4735,DO,18.735693,-70.162651,Dominican Republic
3,02-05-1927,1,,0,Algiers,Algeria,,"Algiers, Algeria",1,Air Union,,,,,1,SPCA Meteore 63,,DZ,28.033886,1.659626,Algeria
1,08-05-1939,1,,22,Guayaquil,Ecuador,,"Guayaquil, Ecuador",1,Military - Ecuadorian Air Force,,,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college.",30-12-1899 12:00:00,23,Curtiss-Wright C-14 Osprey,,EC,-1.831239,-78.183406,Ecuador
21,19-04-1977,21,,0,Tapa AFB,Estonia,,"Tapa AFB, Estonia",1,Military - Soviet Air Force,,Parnu - Tapa,Crashed into a building while attempting to land in snow and poor visibility.,,21,Antonov An-24,,EE,58.595272,25.013607,Estonia
6,15-03-1935,3,,0,El Arish,Egypt,,"El Arish, Egypt",1,Misrair,SU-ABI,Jerusalem - Cairo,"After flying over the airport into a strong headwind, in an attempt to land, one of the aircraft's two engines failed.  While attempting to return to the airport the pilot headed into the strong wind and lost airspeed until he stalled and crashed from a height  of 100 - 130 feet.",,3,de Havilland Dragon 1,6031,EG,26.820553,30.802498,Egypt
10,17-07-1998,10,,0,Asmara,Eritrea,,"Asmara, Eritrea",1,Ukraine Aviation Transport Company,UR-UCI,"Bourgas, Bulgaria - Asmara, Eritrea","While on an ILS approach, the cargo plane struck a hill.",30-12-1899 04:15:00,10,Ilyushin II-76,0083481440,ER,15.179384,39.782334,Eritrea
2,05-10-1920,2,,0,Valencia,Spain,,"Valencia, Spain",1,Latecoere Airlines,F-ALTA,,Crashed while landing.,,2,Breguet 14,20,ES,40.463667,-3.74922,Spain
18,13-01-1962,5,,1,Near Tippi,Ethiopia,,"Near Tippi, Ethiopia",1,Ethiopian Airlines,ET-T-1,Tippi - Jimma,Swerved off the runway while taking off and struck a structure.,,6,Douglas DC-3,10053,ET,9.145,40.489673,Ethiopia
25,03-01-1961,25,311,0,Koivulahti,Finland,,"Koivulahti, Finland",1,Finnair,OH-LCC,Kokkola - Vaasa,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",30-12-1899 07:40:00,25,Douglas DC-3,14066/25511,FI,61.92411,25.748151,Finland
9,12-07-1979,9,,0,Bua,Fiji,,"Bua, Fiji",1,Fiji Air Services,DQ-FBO,Suva-Nausori - Bua-Dama,Crashed into a rain forest. Pilot-in-command continuing the flight into conditions where he lost visual reference with the ground which resulted in the aircraft colliding with terrain.,,9,Britten Norman BN-2A Trislander,195,FJ,-16.578193,179.414413,Fiji
18,20-10-1917,18,,0,Near Luneville,France,,"Near Luneville, France",1,Military - German Navy,,,Shot down by French anti-aircraft fire.,30-12-1899 07:45:00,18,Zeppelin L-44 (airship),,FR,46.227638,2.213749,France
3,26-02-1979,3,,0,Near Moanda,Gabon,,"Near Moanda, Gabon",1,Air Gabon,TR-LXN,,,,3,Douglas DC-6B,45108/770,GA,-0.803689,11.609444,Gabon
3,19-05-1996,3,,0,Griesta,United Kingdom,,"Griesta, United Kingdom",1,Loganair,G-BEDZ,Inverness - Lerwick,Crashed during a second attempt at landing,30-12-1899 23:36:00,3,Britten-Norman BN-2A-26 Islander,544,GB,55.378051,-3.435973,United Kingdom
5,22-03-1925,5,,0,Near Tiflies,Georgia,USSR,"Near Tiflies, Georgia, USSR",1,Zakavia,R-RECA,,,,5,Junkers F-13,590,GE,42.315407,43.356892,Georgia
10,01-11-1961,2,,0,Les Prevosts,Guernsey,,"Les Prevosts, Guernsey",1,Bristol 170 Freighter 31M,G-ANWL,Cherboug - Les Prevosts,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatipitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.,30-12-1899 14:26:00,2,Silver City Airways,13260,GG,49.465691,-2.585278,Guernsey
33,24-04-1969,1,,0,Near Takoradi,Ghana,,"Near Takoradi, Ghana",1,Ghana Airways,9G-AAF,,The aircraft struck high ground after engine problems required  a forced landing.,,1,Douglas DC-3,9407,GH,7.946527,-1.023194,Ghana
3,13-05-1957,2,,0,Narsarressuak,Greenland,,"Narsarressuak, Greenland",1,U.S. Overseas Airways,N68736,,Crashed into an ice cap. White-out conditions. Incorrect indication on navigation charts.,30-12-1899 03:35:00,2,Douglas DC-4,7449,GL,71.706936,-42.604303,Greenland
4,12-03-1937,4,,0,Bathurst,Gambia,,"Bathurst, Gambia",1,Deutsche Lufthansa,D-ALIX,"Las Palmas, Canary Islands - Bathhurst, Gambia",The German mail plane crashed into a swamp.,,4,Heinkel He-111V2,715,GM,13.443182,-15.310139,Gambia
17,03-09-1978,15,,0,Conakry,Guinea,,"Conakry, Guinea",1,Air Guinee,3X-GAX,,,,15,Ilyushin IL-18,187009803,GN,9.945587,-9.696645,Guinea
63,06-03-1968,63,212,0,Basse-Terre,Guadeloupe,West Indies,"Basse-Terre, Guadeloupe, West Indies",1,Air France,F-BLCJ,Caracas - Pointe a Pitre,"After reporting the field in sight, the aircraft struck the ridge of a dormant volcano. The crew initiated a descent from an incorrectly identified point while flying VFR.",30-12-1899 20:32:00,63,Boeing B-707-328C,19724,GP,16.995971,-62.067641,Guadeloupe
46,01-06-1976,46,,0,Nacias Nguema,Equatorial Guinea,,"Nacias Nguema, Equatorial Guinea",1,Aeroflot,CCCP-85102,Luanda - Moscow,Crashed in mountainous terrain while en route.,,46,Tupolev TU-154A,102,GQ,1.650801,10.267895,Equatorial Guinea
9,25-01-1929,2,,0,Near Corfu,Greece,,"Near Corfu, Greece",1,Aeroespresso,I-AZDA,,,,2,CMASA Wal,053,GR,39.074208,21.824312,Greece
27,27-10-1951,25,,0,Near Flores,Guatemala,,"Near Flores, Guatemala",1,Military - Guatemalan Air Force,FAGO961,,Crashed and burned in jungle 170 miles north northeast of Guatemala City.  It is theorized a passenger may have started a fire in the aircraft's cabin with a cigarette.,30-12-1899 19:00:00,25,Douglas C-47,,GT,15.783471,-90.230759,Guatemala
94,19-09-1960,80,,0,Agana,Guam,Mariana Islands,"Agana, Guam, Mariana Islands",1,World Airways,N90779,Guam - Wake Island,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",30-12-1899 06:02:00,80,Douglas DC-6AB,44914/646,GU,13.444304,144.793731,Guam
1,03-05-2000,1,,0,Kurupung,Guyana,,"Kurupung, Guyana",1,Trans Guyana Airways,8R-GAC,,The cargo plane crashed into a cloud covered mountain.,,1,Britten-Norman BN-2A-9 Islander,694,GY,4.860416,-58.93018,Guyana
33,21-12-1948,33,,0,Basalt Island,Hong Kong,,"Basalt Island, Hong Kong",1,China National Aviation Corporation,XT-104,Shanghai - Hong Konk,"Crashed on Balsalt Island  while attempting a visual approach through clouds. The pilot came down through a hole in the overcast but became trapped when the weather closed in. He reversed course but crashed into a small mountain. Pilot error. Quentin Roosevelt, son of Teddy Roosevelt killed.",,33,Douglas C-54B-5-DO,18348,HK,22.396428,114.109497,Hong Kong
9,29-05-1935,6,,0,San Barbra,Honduras,,"San Barbra, Honduras",1,,,,Crashed into the Ulua River.,,6,,,HN,15.199999,-86.241905,Honduras
35,03-04-1996,35,21,0,Near Dubrovnik,Croatia,,"Near Dubrovnik, Croatia",1,Military - U.S. Air Force,73-1149,Tizla - Dubrovnik,"The aircraft strayed off course and hit St. John Hill at an altitude of 2,200 feet, 16km SE of Dubrovnik while attempting to land in poor weather conditions. U.S. Secretary of Commerce, Ron Brown, 55, killed. Crew error.  Failure of the crew to comply with directives that required a review of all instrument approach procedures, not approved by the Defense Dept. Preflight planning errors, combined with errors made during the flight by the crew. Rumors persist that the accident was a result of sabotage.",30-12-1899 14:52:00,35,Boeing B-737-T43,20696/347,HR,45.1,15.2,Croatia
35,22-01-1966,30,,0,Port-au-Prince,Haiti,,"Port-au-Prince, Haiti",1,COHATA,N4662,,Crashed 5 minutes after taking off from Las Cayee.,,30,Douglas DC-3,,HT,18.971187,-72.285215,Haiti
1,24-07-1925,1,,0,Budapest,Hungary,,"Budapest, Hungary",1,CIDNA,,,,,1,Potez IX,,HU,47.162494,19.503304,Hungary
9,15-01-1940,8,,0,Denpasar,Indonesia,,"Denpasar, Indonesia",1,KNILM,PK-AFO,,,,8,Lockheed 14 Super Electra,1415,ID,-0.789275,113.921327,Indonesia
25,28-07-1943,12,,0,Brandon Head,Ireland,,"Brandon Head, Ireland",1,British Overseas Airways,G-AGES,Lisbon - Foynes - Poole,,,12,Short Sunderland 3 (flying boat),,IE,53.41291,-8.24389,Ireland
31,23-04-1945,31,,0,North Barrule,Isle of Man,England,"North Barrule, Isle of Man, England",1,Military - U.S. Air Force,43-38856,Ridgewell - Nutts Corner,,,31,B17G Flying Fortress,,IM,54.236107,-4.548056,Isle of Man
7,07-03-1938,7,,0,Datia,India,,"Datia, India",1,Air France,F-ANQR,"Hanoi, Vietnam - Paris, France",Crashed and burst into flames shortly after taking off from Dum Dum.,,7,Potez 621,4031/12,IN,20.593684,78.96288,India
6,27-11-1938,4,,0,Bagdad,Iraq,,"Bagdad, Iraq",1,Imperial Airways,G-AETW,,The flying boat crashed on Lake Ramadi.,,4,Short Empire Flying Boat,,IQ,33.223191,43.679291,Iraq
5,06-09-1929,3,,0,Jask,Iran,,"Jask, Iran",1,Imperial Airways,G-EBMZ,"London, England - India",The mail plane caught fire after crash landing.,,3,de Havilland DH-66 Hercules,239,IR,32.427908,53.688046,Iran
25,29-05-1947,25,,0,Hjedinsfjordur,Iceland,,"Hjedinsfjordur, Iceland",1,Flugefelag,TF-ISI,Reykjavík - Akureyri,Crashed on the north coast of Iceland in poor weather.,,25,Douglas DC-3,13389,IS,64.963051,-19.020835,Iceland
4,02-10-1922,4,,0,Venice,Italy,,"Venice, Italy",1,,G-EAYT,,,,4,de Havilland DH-9,,IT,41.87194,12.56738,Italy
7,31-07-1936,7,,0,Off Channel Islands,Jersey,,"Off Channel Islands, Jersey",1,Guernsey Airways,G-ABXW,Guernsey - Jersey,Crashed into the sea.,,7,Saro Cloud,A-19/4,JE,49.214439,-2.13125,Jersey
13,10-04-1953,13,,0,Off Kingston,Jamaica,,"Off Kingston, Jamaica",1,Caribbean International Airways,VP-JBC,,"Lost an engine on takeoff, climbed to 100-200 ft. entering a slight banking turn and crashed into the sea. Failure of the left engine which was due to the cracking of the accessory drive gear. Failure of the pilot to take precautionary steps on hearing the back firing, which was a warning of possible engine failure.",,13,Lockheed 18-56 LodeStar,2568,JM,18.109581,-77.297508,Jamaica
57,09-09-1956,1,,0,Amman,Jordan,,"Amman, Jordan",1,Jordan International Airlines,JY-ABV,,"The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames.",,1,Curtiss C-46A-45-CU,27069,JO,30.585164,36.238414,Jordan
6,10-08-1938,6,,0,Shishijima,Japan,,"Shishijima, Japan",1,Dai Nippon,J-ANES,,,,6,Douglas DF-151,,JP,36.204824,138.252924,Japan
4,27-07-1938,4,,0,Kisumu,Kenya,,"Kisumu, Kenya",1,Imperial Airways,G-ABTG,Kisumu - Alexandria,Flew into a hillside soon after takeoff from Kisumu. The ship was named 'Amalthea.',,4,Armstrong-Withworth Atlanta,AW-785,KE,-0.023559,37.906193,Kenya
6,30-01-1976,6,,0,Frunze,Kyrgyzstan,,"Frunze, Kyrgyzstan",1,Aeroflot,CCCP-75558,Training,The crew was practicing dual engine failure with No. 3 and 4 engines shut down. The airplane lost control when the captain attempted a go-around and the No. 3 engine failed to relight. The propeller caused strong drag and the aircraft rolled and impacted the ground.,,6,Ilyushin IL-18V,184007505,KG,41.20438,74.766098,Kyrgyzstan
9,02-10-1972,9,,0,Kampot,Cambodia,,"Kampot, Cambodia",1,Cambodia Air,XW-TDA,,Shot down by a mortar shell while approaching to land at Kampot.,,9,Douglas DC-3,13729,KH,12.565679,104.990963,Cambodia
175,23-11-1996,127,961,0,Off Moroni,Comoros,,"Off Moroni, Comoros",1,Ethiopian Airlines,ET-AIZ,Addis Ababa - Nairobi,"The aircraft was hijacked shortly after taking off from Ethiopia by three drunken escaped prisoners. They demanded to be flown to Australia, but wouldn't let the pilot stop to refuel. The plane eventually ran out of fuel and ditched 500 feet offshore of Le Galawa Beach on the island of Grand Comoros. When it was aparent the plane was out of fuel, the hijackers fought the pilot for control of the aircraft. In the last seconds aloft, the left wing tip struck the water and the plane crashed into the sea flipping at least once before breaking into several  parts. The water was shallow but many passengers had inflated their safety vests which prevented them from swimming out from under the cabin and they drowned.",30-12-1899 15:15:00,127,Boeing B-767-200ER,23916/187,KM,-11.875001,43.872219,Comoros
21,27-07-1953,21,,0,Near Kanggye,North Korea,,"Near Kanggye, North Korea",1,Aeroflot,,,Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space.,30-12-1899 12:30:00,21,Ilyushin IL-12,,KP,40.339852,127.510093,North Korea
23,07-07-1950,23,,0,Busan,South Korea,,"Busan, South Korea",1,Military - U.S. Air Force,45-0518,,Struck a mountain.,,23,Douglas C-54G,35971,KR,35.907757,127.766922,South Korea
130,02-10-1990,130,,0,Near Kuwait City,Kuwait,,"Near Kuwait City, Kuwait",1,Iraqi Airways,,,The aircraft was shot down by a Kuwaiti fighter shortly after takeoff with an air-to-air missile. Mostly military personnel were onboard.,,130,Ilyushin IL-76,,KW,29.31166,47.481766,Kuwait
32,28-02-1973,32,,0,Semipalatinsk,Kazakhstan,,"Semipalatinsk, Kazakhstan",1,Aeroflot,CCCP-87602,,Crashed on takeoff.,,32,Yakovlev YAK-40,9120118,KZ,48.019573,66.923684,Kazakhstan
